timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
00:00.122 30 1.81 0.38 172.72
00:00.299 30 1.81 0.38 172.72
00:00.638 30 1.81 0.37 172.72
00:00.806 30 1.81 0.37 172.72
00:00.892 30 1.81 0.37 172.72
00:01.057 30 1.81 0.37 172.72
00:01.146 30 1.81 0.37 172.72
00:01.324 30 1.80 0.37 172.72
00:01.455 30 1.81 0.37 172.72
00:01.576 30 1.80 0.38 172.72
00:01.664 30 1.81 0.38 172.72
00:01.860 30 1.81 0.38 172.72
00:02.190 30 1.81 0.38 172.72
00:02.311 30 1.81 0.38 172.72
00:02.398 30 1.81 0.38 172.72
00:02.563 30 1.81 0.38 172.72
00:02.672 30 1.81 0.38 172.72
00:02.848 30 1.81 0.38 172.72
00:02.975 30 1.81 0.38 172.72
00:03.096 30 1.81 0.38 172.72
00:03.179 30 1.81 0.37 172.72
00:03.366 30 1.81 0.37 172.72
00:03.641 30 1.81 0.37 172.72
00:03.807 30 1.81 0.38 172.72
00:03.892 30 1.81 0.38 172.72
00:04.059 30 1.81 0.38 172.72
00:04.143 30 1.81 0.37 172.72
00:04.320 30 1.81 0.38 172.72
00:04.445 30 1.80 0.38 172.72
00:04.568 30 1.80 0.38 172.72
00:04.655 30 1.80 0.38 172.72
00:04.843 30 1.80 0.38 172.72
00:05.176 30 1.80 0.38 172.72
00:05.297 30 1.81 0.38 172.72
00:05.382 30 1.81 0.38 172.72
00:05.543 30 1.81 0.38 172.72
00:05.651 30 1.81 0.38 172.72
00:05.831 30 1.81 0.38 172.72
00:05.955 30 1.81 0.38 172.72
00:06.072 30 1.81 0.38 172.72
00:06.162 30 1.81 0.38 172.72
00:06.351 30 1.80 0.38 172.72
00:06.675 30 1.81 0.38 172.72
00:06.802 30 1.80 0.38 172.71
00:06.894 30 1.81 0.38 172.71
00:07.060 30 1.81 0.38 172.71
00:07.155 30 1.81 0.38 172.71
00:07.340 30 1.81 0.38 172.71
00:07.472 30 1.81 0.38 172.71
00:07.598 30 1.81 0.38 172.71
00:07.689 30 1.81 0.38 172.71
00:07.905 30 1.81 0.38 172.71
00:08.253 30 1.81 0.39 172.71
00:08.385 30 1.81 0.38 172.71
00:08.478 30 1.81 0.39 172.71
00:08.654 30 1.81 0.38 172.71
00:08.743 30 1.81 0.38 172.71
00:08.957 30 1.81 0.38 172.71
00:09.093 30 1.81 0.38 172.71
00:09.219 30 1.81 0.38 172.71
00:09.308 30 1.81 0.38 172.71
00:09.518 30 1.81 0.38 172.71
00:09.821 30 1.81 0.38 172.71
00:10.000 30 1.81 0.38 172.71
00:10.092 30 1.81 0.38 172.71
00:10.252 30 1.81 0.38 172.71
00:10.337 30 1.81 0.38 172.71
00:10.535 30 1.81 0.38 172.71
00:10.673 30 1.81 0.38 172.71
00:10.812 30 1.81 0.38 172.71
00:10.904 30 1.81 0.38 172.71
00:11.103 30 1.81 0.38 172.71
00:11.431 30 1.81 0.38 172.71
00:11.554 30 1.81 0.38 172.71
00:11.640 30 1.81 0.38 172.70
00:11.803 30 1.81 0.38 172.70
00:11.888 30 1.81 0.38 172.70
00:12.070 30 1.81 0.38 172.70
00:12.223 30 1.81 0.38 172.71
00:12.339 30 1.81 0.38 172.71
00:12.427 30 1.81 0.37 172.71
00:12.617 30 1.81 0.37 172.71
00:12.885 30 1.81 0.37 172.70
00:13.052 30 1.81 0.37 172.71
00:13.508 30 0.97 0.35 -178.45
00:13.803 30 1.16 1.28 -177.54
00:13.960 30 1.11 0.91 -176.59
00:14.717 30 1.86 0.67 -177.12
00:14.962 30 3.00 1.73 -178.30
00:15.211 30 2.57 1.60 -178.42
00:16.566 30 2.47 1.60 -178.44
00:16.921 30 2.31 1.61 -178.45
00:17.076 30 2.26 1.62 -178.48
00:17.628 30 2.19 1.65 -178.51
00:17.779 30 2.10 1.62 -178.51
00:17.987 30 1.95 1.63 -178.51
00:18.467 30 1.93 1.63 -178.61
00:18.597 30 1.81 1.63 -178.66
00:18.734 30 1.79 1.64 -178.63
00:18.934 30 1.81 1.63 -178.68
00:19.761 30 1.81 1.62 -178.68
00:19.890 30 1.86 1.60 -178.72
00:20.030 30 1.93 1.56 -178.79
00:20.493 30 1.95 1.53 -178.83
00:20.664 30 1.92 1.48 -178.87
00:20.870 30 1.97 1.42 -178.93
00:21.355 30 -0.90 -2.76 179.00
00:21.460 30 -1.17 -2.41 178.08
00:21.771 30 -1.00 -2.23 177.39
00:22.347 30 -0.99 -2.03 176.99
00:22.986 30 -0.81 -1.98 176.91
00:24.104 30 -0.94 -2.01 176.90
00:24.238 30 -0.90 -2.02 176.86
00:24.819 30 -0.75 -2.05 176.83
00:24.938 30 -0.77 -2.02 176.76
00:25.502 30 -0.71 -2.04 176.77
00:25.553 30 -0.81 -2.05 176.75
00:25.848 30 -0.80 -2.08 176.79
00:26.227 30 -0.69 -2.09 176.73
00:26.458 30 -0.72 -2.11 176.75
00:26.505 30 -0.66 -2.15 176.74
00:27.105 30 -0.63 -2.15 176.72
00:27.354 30 0.14 -2.44 178.14
00:28.039 30 -0.16 -2.15 177.86
00:29.275 30 -0.13 -2.29 177.77
00:29.723 30 -0.21 -2.30 177.61
00:29.947 30 -0.26 -2.22 177.49
00:29.992 30 -0.63 -2.05 177.51
00:30.219 30 -0.64 -1.78 177.40
00:30.678 30 -0.89 -1.59 177.27
00:30.900 30 -0.97 -1.44 177.23
00:30.947 30 -1.10 -1.34 177.11
00:31.552 30 -1.36 -1.39 177.08
00:31.596 30 -1.28 -1.58 177.04
00:32.271 30 -1.41 -1.74 176.99
00:32.647 30 -1.44 -1.96 176.89
00:32.886 30 -1.62 -1.98 176.89
00:32.931 30 -1.62 -1.92 176.87
00:33.174 30 -1.38 -1.77 176.79
00:33.550 30 -1.20 -1.67 176.86
00:33.659 30 -1.64 -0.75 178.54
00:33.954 30 -1.85 -0.39 178.18
00:34.060 30 -2.04 -0.05 178.21
00:34.690 30 -2.35 -0.42 178.14
