timestamp msgid x y z
MM:SS.xxx ID m m m
00:00.169 32 -0.000342 -0.000855 -0.047185
00:00.584 32 -0.000370 -0.000793 -0.046860
00:01.007 32 -0.000385 -0.000746 -0.046669
00:01.593 32 -0.000368 -0.000683 -0.046526
00:02.017 32 -0.000345 -0.000636 -0.046499
00:02.409 32 -0.000327 -0.000608 -0.046543
00:03.043 32 -0.000303 -0.000580 -0.046560
00:03.468 32 -0.000284 -0.000565 -0.046487
00:03.890 32 -0.000263 -0.000549 -0.046419
00:04.472 32 -0.000223 -0.000541 -0.046384
00:04.897 32 -0.000169 -0.000535 -0.046379
00:05.299 32 -0.000125 -0.000533 -0.046401
00:05.943 32 -0.000054 -0.000523 -0.046438
00:06.362 32 0.000020 -0.000498 -0.046462
00:06.806 32 0.000075 -0.000483 -0.046482
00:07.397 32 0.000152 -0.000466 -0.046682
00:07.828 32 0.000234 -0.000447 -0.046915
00:08.234 32 0.000298 -0.000427 -0.047115
00:08.874 32 0.000376 -0.000402 -0.047348
00:09.292 32 0.000431 -0.000389 -0.047462
00:09.716 32 0.000502 -0.000366 -0.047675
00:10.303 32 0.000561 -0.000335 -0.047929
00:10.718 32 0.000610 -0.000301 -0.048236
00:11.683 32 0.863547 5.019597 -5.567404
00:12.454 32 0.863542 5.019508 -5.567621
00:14.137 32 0.863540 5.019499 -5.567492
00:14.972 32 0.863532 5.019482 -5.567444
00:15.788 32 0.863516 5.019457 -5.567379
00:16.852 32 0.863499 5.019448 -5.567078
00:17.776 32 0.863485 5.019439 -5.566938
00:18.551 32 0.863463 5.019423 -5.566925
00:19.677 32 0.863430 5.019400 -5.567089
00:20.515 32 0.863392 5.019388 -5.567308
00:21.731 32 0.862875 5.019364 -5.605127
00:23.145 32 0.862908 5.019374 -5.605621
00:24.109 32 0.862946 5.019381 -5.606106
00:25.141 32 0.862975 5.019388 -5.606508
00:26.018 32 0.863001 5.019392 -5.607014
00:26.863 32 0.863033 5.019406 -5.607485
00:27.349 32 0.863027 5.019454 -5.615444
00:28.876 32 0.863043 5.019393 -5.615112
00:29.811 32 0.863058 5.019324 -5.614935
00:30.779 32 0.863065 5.019258 -5.614836
