timestamp tagid tag_x tag_y tag_z tag_roll tag_pitch tag_yaw
MM:SS.xxx ID m m m deg deg deg
01:00.745 0 5.304985 3.700286 -1.498976 6.31 179.46 78.19
01:00.765 0 5.313088 3.705641 -1.498879 4.48 178.81 78.21
01:00.799 0 5.319365 3.700521 -1.500038 4.29 178.87 78.11
01:07.965 0 4.801798 3.100348 -1.664949 164.24 14.50 -103.38
01:07.999 0 4.796819 3.104270 -1.658985 164.74 15.11 -103.69
01:08.033 0 4.796052 3.108811 -1.655564 165.01 16.21 -103.88
01:08.063 0 4.798898 3.115064 -1.650006 163.97 16.20 -103.60
01:08.097 0 4.805354 3.120898 -1.651067 160.76 16.06 -102.91
01:08.130 0 4.812879 3.134690 -1.652004 162.58 18.83 -102.66
01:08.164 0 4.804746 3.149494 -1.633796 162.66 13.16 -102.51
01:08.964 0 5.002566 3.245723 -1.467357 164.85 7.59 -95.63
01:08.997 0 4.996624 3.243534 -1.479826 164.72 14.83 -95.78
01:09.063 0 4.973129 3.234667 -1.470137 162.94 9.81 -96.74
01:09.098 0 4.962420 3.221642 -1.460656 164.50 7.47 -96.49
01:09.131 0 4.971461 3.180878 -1.578889 168.30 5.94 -96.94
01:09.165 0 4.962130 3.168820 -1.576655 164.71 9.22 -96.29
01:09.199 0 4.951768 3.164373 -1.575865 166.50 9.11 -96.17
01:09.299 0 4.915012 3.147938 -1.578658 165.04 13.19 -95.88
01:09.332 0 4.908451 3.144093 -1.580091 167.24 12.17 -96.59
01:09.364 0 4.913791 3.132347 -1.593574 165.86 20.40 -96.27
01:09.397 0 4.909518 3.131041 -1.577065 167.81 10.91 -96.88
01:09.430 0 4.919470 3.121176 -1.577142 165.90 9.74 -96.28
01:09.492 0 4.945514 3.104923 -1.566398 166.49 10.55 -96.93
01:09.525 0 4.952555 3.099333 -1.561835 166.85 11.21 -97.34
01:09.559 0 4.956026 3.098029 -1.560977 168.77 10.45 -97.76
01:09.592 0 4.957149 3.093347 -1.565531 168.61 14.00 -98.05
01:09.626 0 4.946813 3.087611 -1.565870 168.36 6.97 -98.46
01:09.659 0 4.948986 3.076158 -1.577771 168.27 18.99 -98.81
01:09.692 0 4.947727 3.069357 -1.577756 169.29 18.00 -99.36
01:09.726 0 4.924298 3.085353 -1.459792 167.84 9.83 -98.90
01:09.758 0 4.931277 3.083864 -1.461724 168.29 10.06 -98.66
01:19.420 0 8.649529 5.931928 -1.443634 0.16 -171.74 76.29
01:19.453 0 8.656093 5.965222 -1.314161 178.24 -4.39 -103.94
01:19.489 0 8.657199 5.955744 -1.420227 176.51 -4.34 -104.20
01:19.520 0 8.660480 5.984542 -1.305943 175.37 -4.18 -104.33
01:19.553 0 8.664259 5.976679 -1.407022 173.77 -5.98 -103.96
01:19.586 0 8.670810 5.985153 -1.408798 176.53 -5.70 -103.67
01:19.619 0 8.680228 5.989561 -1.404148 175.12 -3.69 -103.69
01:19.654 0 8.684978 5.992361 -1.402104 174.46 -5.15 -103.57
01:19.687 0 8.688067 5.995503 -1.401717 174.78 -5.56 -103.49
01:19.722 0 8.690413 5.999415 -1.397107 173.43 -5.65 -103.35
01:19.754 0 8.690533 6.000997 -1.399787 174.02 -5.81 -103.03
01:19.788 0 8.690160 6.001327 -1.397836 173.52 -5.35 -103.04
01:19.821 0 8.689666 6.001328 -1.396664 173.83 -6.07 -103.09
01:19.854 0 8.689143 5.999385 -1.398312 173.68 -5.78 -103.11
01:19.888 0 8.688451 5.995544 -1.398150 173.92 -5.64 -103.19
01:19.922 0 8.689382 5.990413 -1.394240 174.62 -4.85 -103.25
01:19.956 0 8.692229 5.979759 -1.400582 174.09 -2.26 -103.62
01:19.986 0 8.691699 5.972285 -1.405465 175.82 -6.30 -103.30
01:20.015 0 8.693926 5.968132 -1.389904 174.85 -5.43 -102.68
01:20.049 0 8.696879 5.962550 -1.386268 174.50 -5.35 -102.63
01:20.083 0 8.697861 5.960487 -1.385807 175.42 -4.80 -102.15
01:20.116 0 8.694254 5.957727 -1.387229 176.34 -6.19 -101.52
01:20.149 0 8.691928 5.954067 -1.387961 177.32 -6.39 -101.10
01:20.182 0 8.690482 5.950935 -1.383304 176.03 -5.92 -100.77
01:20.216 0 8.690773 5.950818 -1.384544 176.85 -5.25 -100.26
01:20.250 0 8.689604 5.949684 -1.383152 176.22 -5.80 -99.70
01:20.282 0 8.686708 5.950710 -1.382128 177.64 -4.94 -99.39
01:20.315 0 8.680947 5.952543 -1.379743 176.90 -3.31 -99.37
01:20.347 0 8.671719 5.955933 -1.377988 176.29 -3.61 -99.29
01:20.382 0 8.666814 5.959306 -1.379464 176.54 -2.52 -99.74
01:20.416 0 8.664316 5.952013 -1.391056 175.87 -0.71 -100.10
01:20.449 0 8.660073 5.940885 -1.394912 176.60 -7.11 -99.76
01:20.514 0 8.652895 5.923219 -1.267745 178.14 -6.11 -100.17
01:21.447 0 6.127481 -1.046250 -2.159847 162.71 0.66 -90.23
01:21.482 0 6.135881 -1.082193 -2.271992 159.79 2.08 -90.81
01:21.516 0 6.137933 -1.070614 -2.277441 160.42 1.81 -90.77
01:21.549 0 6.141561 -1.060566 -2.286462 160.61 -1.51 -90.10
01:21.580 0 6.138847 -0.994566 -2.184107 161.33 -0.46 -89.88
01:21.615 0 6.155284 -1.051990 -2.314454 150.76 16.49 -90.05
01:21.649 0 6.147613 -1.023866 -2.295030 156.46 4.18 -89.94
01:21.682 0 4.962781 -2.250316 -2.281900 157.89 1.29 -89.76
01:21.716 0 4.964367 -2.242001 -2.287417 157.27 1.77 -89.75
01:21.750 0 4.934123 -2.238518 -2.293655 157.36 3.65 -90.46
01:21.782 0 4.931202 -2.227395 -2.288936 156.78 -0.69 -89.68
01:21.815 0 4.931898 -2.224986 -2.291885 156.84 1.67 -89.74
01:21.848 0 4.929124 -2.223042 -2.296084 157.53 1.00 -89.61
01:21.881 0 4.925353 -2.221780 -2.295883 156.64 1.28 -89.49
01:21.915 0 4.922527 -2.220832 -2.297816 157.54 2.04 -89.30
01:21.948 0 4.920086 -2.221202 -2.299160 157.05 2.96 -89.51
01:21.982 0 4.918113 -2.222954 -2.299677 156.82 2.81 -89.44
01:22.017 0 4.906931 -2.178505 -2.210368 154.39 1.38 -88.96
01:22.050 0 4.914084 -2.226203 -2.297588 156.78 0.67 -89.43
01:22.081 0 4.907035 -2.181148 -2.209404 157.65 2.12 -89.28
01:22.115 0 4.915430 -2.231065 -2.295192 156.98 2.18 -89.75
01:22.149 0 4.916639 -2.233071 -2.294078 156.98 2.16 -89.75
01:22.183 0 4.918943 -2.233221 -2.292279 157.31 3.04 -89.94
01:22.216 0 4.920063 -2.233309 -2.291328 157.38 2.34 -89.78
01:22.248 0 4.921244 -2.234265 -2.290702 157.38 2.33 -89.78
01:22.282 0 4.914794 -2.188922 -2.203222 156.81 1.89 -89.41
01:22.315 0 4.923223 -2.232783 -2.291282 157.59 2.30 -89.96
01:22.348 0 4.923478 -2.231202 -2.293069 157.36 2.18 -89.90
01:22.382 0 4.921925 -2.231254 -2.296137 158.04 1.48 -89.77
01:22.415 0 4.920845 -2.231053 -2.294604 158.19 2.64 -89.88
01:22.449 0 4.918050 -2.233260 -2.292465 156.03 0.88 -89.51
01:22.482 0 4.917386 -2.237617 -2.294252 157.25 1.18 -89.59
01:22.516 0 4.917507 -2.239485 -2.292210 157.98 2.19 -89.82
01:22.549 0 4.911096 -2.194584 -2.197876 156.10 3.64 -89.49
01:22.582 0 4.918958 -2.244154 -2.288721 157.31 2.07 -89.95
01:22.615 0 4.918073 -2.246786 -2.287112 156.90 0.51 -89.83
01:22.649 0 4.918610 -2.248753 -2.287125 158.33 1.48 -89.85
01:22.681 0 4.918459 -2.250043 -2.283166 157.49 2.97 -89.92
01:22.716 0 4.909410 -2.204630 -2.196691 158.28 1.91 -89.66
01:22.750 0 4.916658 -2.250506 -2.281276 157.28 1.66 -89.67
01:22.783 0 4.908579 -2.203278 -2.195909 158.90 1.69 -89.49
01:22.815 0 4.917001 -2.248494 -2.284419 158.05 1.57 -89.84
01:22.850 0 4.918921 -2.245707 -2.284341 158.21 1.67 -89.90
01:22.883 0 4.920489 -2.246003 -2.283639 156.65 -0.10 -89.74
01:22.915 0 4.925481 -2.244335 -2.284491 158.90 2.85 -89.99
01:22.948 0 4.927569 -2.242684 -2.285285 158.98 2.36 -90.05
01:22.982 0 4.910421 -2.242552 -2.286827 157.14 1.40 -90.18
01:23.015 0 4.910835 -2.240389 -2.287298 158.07 1.94 -90.30
01:23.049 0 4.910017 -2.238998 -2.286047 156.82 1.13 -89.96
01:23.082 0 4.909340 -2.237920 -2.287340 157.15 2.30 -90.16
01:23.116 0 4.902804 -2.237177 -2.288434 157.14 2.49 -90.35
01:23.149 0 4.902587 -2.237731 -2.290060 157.10 1.61 -90.35
01:23.181 0 4.903033 -2.236711 -2.287004 157.23 3.35 -90.35
01:23.216 0 4.903200 -2.237303 -2.287313 156.27 2.93 -90.04
01:23.248 0 4.887535 -2.239031 -2.290336 157.00 3.29 -90.80
01:23.282 0 4.874856 -2.195954 -2.204773 156.23 1.81 -90.41
01:23.316 0 4.720242 -2.313010 -2.292198 157.69 4.00 -91.03
01:23.349 0 4.717383 -2.316013 -2.293134 158.26 4.04 -91.23
01:23.381 0 4.712467 -2.316770 -2.290022 157.09 3.24 -91.00
01:23.415 0 4.709174 -2.317916 -2.291509 158.08 3.20 -90.91
01:23.448 0 4.706734 -2.320341 -2.293726 158.47 3.40 -90.96
01:23.482 0 4.704351 -2.318252 -2.290467 158.11 3.71 -90.98
01:23.515 0 4.707074 -2.315583 -2.290419 157.91 5.23 -90.95
01:23.548 0 4.697047 -2.267977 -2.202688 156.63 3.09 -90.45
01:23.582 0 4.709136 -2.311735 -2.293863 157.77 3.31 -91.06
01:23.614 0 4.711439 -2.309760 -2.295435 158.66 4.01 -91.08
01:23.648 0 4.711623 -2.306835 -2.293733 157.24 3.35 -91.05
01:23.681 0 4.714342 -2.305407 -2.294649 156.84 3.71 -90.90
01:23.715 0 4.707942 -2.304708 -2.295469 157.86 4.46 -91.47
01:23.749 0 4.707512 -2.303437 -2.295047 157.23 3.11 -91.12
01:23.783 0 4.709689 -2.301059 -2.295757 157.22 3.12 -91.11
01:23.816 0 4.712934 -2.300527 -2.296800 157.85 4.49 -91.28
01:23.848 0 4.694049 -2.256997 -2.211491 157.85 4.92 -91.45
01:23.883 0 4.703403 -2.305008 -2.298699 156.74 2.29 -91.51
01:23.915 0 4.704175 -2.306407 -2.297299 157.02 3.34 -91.58
01:23.948 0 4.702345 -2.309381 -2.296211 157.39 2.58 -91.45
01:23.982 0 4.692967 -2.312935 -2.295887 157.95 3.73 -91.91
